Step,Reward,Entropy,Algorithm
0.0,-0.9034703547246599,0.02,Phase 5 Hybrid PPO
10101.0101010101,-0.7984579856303559,0.019039239022952827,Phase 5 Hybrid PPO
20202.0202020202,-0.7252659843391686,0.018170784211407314,Phase 5 Hybrid PPO
30303.030303030304,-0.6552824644224726,0.01738576714918798,Phase 5 Hybrid PPO
40404.0404040404,-0.570001541005453,0.016676171462938302,Phase 5 Hybrid PPO
50505.0505050505,-0.5420340978930435,0.016034750961171594,Phase 5 Hybrid PPO
60606.06060606061,-0.45566919559241287,0.015454955638202435,Phase 5 Hybrid PPO
70707.0707070707,-0.427009340429962,0.014930864787331598,Phase 5 Hybrid PPO
80808.0808080808,-0.3756097784670118,0.014457126540255176,Phase 5 Hybrid PPO
90909.09090909091,-0.33802940985358326,0.014028903215291329,Phase 5 Hybrid PPO
101010.101010101,-0.31361922859986563,0.013641821916336151,Phase 5 Hybrid PPO
111111.11111111111,-0.2876378919529616,0.013291929878079057,Phase 5 Hybrid PPO
121212.12121212122,-0.25617882264199615,0.012975654101475654,Phase 5 Hybrid PPO
131313.1313131313,-0.23996155769605484,0.012689764867286835,Phase 5 Hybrid PPO
141414.1414141414,-0.2077057586945987,0.012431342755094669,Phase 5 Hybrid PPO
151515.15151515152,-0.19071154944770408,0.012197748831002535,Phase 5 Hybrid PPO
161616.1616161616,-0.1792084942025152,0.011986597699584708,Phase 5 Hybrid PPO
171717.1717171717,-0.18595199597092263,0.01179573314489944,Phase 5 Hybrid PPO
181818.18181818182,-0.1566231764237515,0.011623206111818482,Phase 5 Hybrid PPO
191919.19191919192,-0.1586953055557633,0.011467254802824515,Phase 5 Hybrid PPO
202020.202020202,-0.15016074434001067,0.011326286687030632,Phase 5 Hybrid PPO
212121.21212121213,-0.14185602019440624,0.01119886223770301,Phase 5 Hybrid PPO
222222.22222222222,-0.13332772722638409,0.011083680232218958,Phase 5 Hybrid PPO
232323.2323232323,-0.11714188645792183,0.01097956446434762,Phase 5 Hybrid PPO
242424.24242424243,-0.12509168878295246,0.010885451733162889,Phase 5 Hybrid PPO
